id,course,name,introformat,alwaysshowdescription,nosubmissions,submissiondrafts,sendnotifications,sendlatenotifications,duedate,allowsubmissionsfromdate,grade,timemodified,requiresubmissionstatement,completionsubmit,cutoffdate,gradingduedate,teamsubmission,requireallteammemberssubmit,teamsubmissiongroupingid,blindmarking,hidegrader,revealidentities,attemptreopenmethod,maxattempts,markingworkflow,markingallocation,sendstudentnotifications,preventsubmissionnotingroup,activityformat,timelimit,submissionattachments
32,1265,Midterm grade,1,1,1,0,0,0,1661270400,1660665600,100,1660720054,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
33,1569,Assignment 1,1,1,0,0,0,0,1661616000,1661011200,100,1661055700,0,1,0,1662220800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
34,1569,Assignment 2,1,1,0,0,0,0,1661616000,1661011200,100,1661055769,0,1,0,1662220800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
35,1569,Assignment 3,1,0,1,0,0,0,0,0,100,1661055817,0,1,0,1662220800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
36,74,T1: Pretest,1,1,1,0,0,0,1663171140,1662480000,100,1662539990,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
37,74,T1: Post test,1,1,0,0,0,0,1644822000,1644811200,100,1644809658,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
38,74,T1: Assessment,1,1,0,0,0,0,1644822000,1644811200,100,1644809711,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
39,74,T1: Assignment,1,1,0,0,0,0,1644822000,1644811200,100,1644809831,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
40,74,T2: Pretest,1,1,0,0,0,0,1663041540,1662523200,100,1663741968,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
41,74,T2: Exercise,1,1,0,0,0,0,1645426860,1645416000,100,1645421500,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
42,74,T2: Exercise (copy),1,1,0,0,0,0,1632844740,1631066400,100,1634533228,0,1,1635004740,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
43,74,T2: Assignment,1,1,0,0,0,0,1632844740,1631073600,100,1634533239,0,1,1635004740,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
44,74,Activityt in ICT,1,0,0,0,0,0,1631678400,0,100,1633503544,0,1,1634054340,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
45,74,Activity 1,1,1,0,0,0,0,1646636400,1646629200,100,1646626393,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
46,74,Activity 2,1,1,0,0,0,0,1647014340,1646629200,100,1646626408,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
47,74,T5: Pretest ,1,1,0,0,0,0,1647837000,1647835200,100,1647835796,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
48,74,T5: Post test (Midterm Examination),1,1,0,0,0,0,1648396740,1647792000,100,1648440953,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
49,74,Digitalization Activity,1,1,0,0,0,0,1618588740,1617984000,100,1636477050,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
50,74,MS Excel 01 - Practice Activity,1,1,0,0,0,0,1651075140,1637683200,100,1650866825,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
51,74,MS Excel 02 - Activity,1,1,0,0,0,0,1651075140,1637683200,100,1650866854,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
52,74,Upload your activity here (Practice Activity 3-6),1,1,0,0,0,0,1651075140,1637683200,100,1650866927,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
53,74,MS Excel 03 - Practice Activity ,1,1,0,0,0,0,1638201540,1637683200,46,1650866949,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
54,74,MS Excel 04 - Practice Activity,1,1,0,0,0,0,1638153000,1637683200,44,1650866997,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
55,74,MS Excel 05 - Practice Activity,1,1,0,0,0,0,1638153000,1637683200,16,1650867007,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
56,74,MS Excel 06 - Practice Activity,1,1,0,0,0,0,1638201540,1637683200,12,1650867018,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
57,74,Submit your activity here,1,1,0,0,0,0,1651420740,1650297600,100,1650898049,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
58,74,Question 1,1,1,0,0,0,0,1651507140,1650297600,100,1650898103,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
59,74,Question 3,1,1,0,0,0,0,1651507140,1650297600,100,1650898130,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
60,74,Smart house,1,1,0,0,0,0,1654271940,1621699200,100,1653273373,0,1,0,0,1,0,0,0,0,0,none,-1,0,0,1,1,0,0,0
61,74,Final Project,1,1,0,0,0,0,1641571140,1638892800,100,1638864871,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
62,768,Create - A - Culture,1,1,0,0,0,0,0,1661363460,100,1657152746,0,1,0,1662573060,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
63,768,Social Framework: High-Context or Low-Context?,1,1,0,0,0,0,0,1661363460,100,1657245290,0,1,0,1662573060,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
64,768,Social Norms,1,1,0,0,0,0,0,1661449860,100,1657244459,0,1,0,1662659460,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
65,768,"Time: Linear, Flexible, or Cyclical?",1,1,0,0,0,0,0,1661968260,-2,1660058718,0,1,0,1663177860,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
66,768,MIDTERM ACTIVITY,1,1,0,0,0,0,1663606260,1661968260,100,1660058949,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
67,768,Power: Hierarchical or Democratic Activity,1,1,0,0,0,0,0,1663091460,50,1660060971,0,1,0,1664301060,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
68,768,Using Language,1,1,0,0,0,0,1664041860,1663696260,50,1660063454,0,1,0,1664905860,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
69,768,Writing A Letter Cross Culturally.,1,1,0,0,0,0,1664041860,1663696260,50,1660063428,0,1,0,1664905860,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
70,768,Communicating Nonverbally,1,1,0,0,0,0,1664041860,1663696260,50,1660062574,0,1,0,1664905860,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
71,768,Finals Activity,1,1,0,0,0,0,1664041860,1663696260,100,1659480804,0,1,0,1664905860,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
74,352,Assignment No. 2 for transfer here in the TLC ,1,1,0,1,0,0,1602172800,1601568000,20,1601620158,1,1,0,1602777600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
75,352,Typology Of Learners ,1,1,0,0,0,0,1603065600,1602691200,10,1610172507,0,1,0,1603900800,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
76,352,Prof Ed 107 Prelim Exam ,1,1,0,1,1,0,1602131400,1602124200,100,1602123828,1,1,0,1603209600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
77,352,Assistance to Parents and Families Needs ,1,1,0,0,0,0,1606651200,1606118400,10,1610172668,0,1,0,1607270400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
78,352,Prof Ed 107 Final Examination,1,1,0,0,0,0,1608181200,1608172200,100,1608111049,0,1,0,1609257600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
81,382,Assignment No. 2 for transfer here in the TLC ,1,1,0,1,0,0,1602172800,1601568000,20,1601620158,1,1,0,1602777600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
82,382,Typology Of Learners ,1,1,0,0,0,0,1603065600,1602691200,10,1610172507,0,1,0,1603900800,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
83,382,Prof Ed 107 Prelim Exam ,1,1,0,1,1,0,1602131400,1602124200,100,1602123828,1,1,0,1603209600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
84,382,Assistance to Parents and Families Needs ,1,1,0,0,0,0,1606651200,1606118400,10,1610172668,0,1,0,1607270400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
85,382,Prof Ed 107 Final Examination,1,1,0,0,0,0,1608181200,1608172200,100,1608111049,0,1,0,1609257600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
90,410,Prof Ed 107 Prelim Exam ,1,1,0,1,1,0,1602131400,1602124200,100,1602123828,1,1,0,1603209600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
91,410,Assistance to Parents and Families Needs ,1,1,0,0,0,0,1606651200,1606118400,10,1610172668,0,1,0,1607270400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
92,410,Prof Ed 107 Final Examination,1,1,0,0,0,0,1608181200,1608172200,100,1608111049,0,1,0,1609257600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
93,451,Assignment on the Legal Bases  ( Please Transfer/ Download Here,1,1,0,1,0,0,1602172800,1601568000,20,1601866504,0,1,0,1602777600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
94,451,Assignment No. 3  Group members are requested to load answers individually in the TLC. ,1,1,0,1,1,0,1602172800,1601568000,10,1610172013,1,1,0,1602777600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
95,451,Assignment No. 2 for transfer here in the TLC ,1,1,0,1,0,0,1602172800,1601568000,20,1601620158,1,1,0,1602777600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
96,451,Typology Of Learners ,1,1,0,0,0,0,1603065600,1602691200,10,1610172507,0,1,0,1603900800,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
97,451,Prof Ed 107 Prelim Exam ,1,1,0,1,1,0,1602131400,1602124200,100,1602123828,1,1,0,1603209600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
98,451,Assistance to Parents and Families Needs ,1,1,0,0,0,0,1606651200,1606118400,10,1610172668,0,1,0,1607270400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
99,451,Prof Ed 107 Final Examination,1,1,0,0,0,0,1608181200,1608172200,100,1608111049,0,1,0,1609257600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
114,1112,EXERCISE 1,1,1,0,0,0,0,1633856460,1633219260,100,1602644910,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
115,1112,FINAL REQUIREMENT: SKILLS DEMONSTRATION VALET SERVICES,1,0,0,0,0,0,0,0,100,1609861452,0,1,1641182460,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
116,1112,TESDA CERTIFICATION,1,0,0,0,0,0,0,0,100,1609895298,0,1,1641096060,1642262460,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
117,1123,EXERCISE 1,1,1,0,0,0,0,1633856460,1633219260,100,1602644910,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
118,1123,FINAL REQUIREMENT: SKILLS DEMONSTRATION VALET SERVICES,1,0,0,0,0,0,0,0,100,1609861452,0,1,1641182460,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
119,1123,TESDA CERTIFICATION,1,0,0,0,0,0,0,0,100,1609895298,0,1,1641096060,1642262460,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
120,1278,Pre-assessment 1,1,0,0,0,0,0,1630893600,0,100,1630886272,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
121,1278,Activity 01,1,1,0,0,0,0,1600347600,1600012800,100,1606213659,0,1,1600347600,1601222400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
122,1278,Activity 02,1,1,0,0,0,0,1602142200,1602135000,100,1602125703,0,1,0,1603296000,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
123,1278,Activity 03 - 1,1,1,0,0,0,0,1602691140,1602480600,100,1602907967,0,1,0,1603641600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
124,1278,Clear your Browsing History,1,1,0,0,0,0,1633312800,1604764800,100,1633307527,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
125,1278,Final Project - Lecture,1,1,0,0,0,0,1641571140,1638720000,100,1638877379,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
126,1377,Pre-assessment 1,1,0,0,0,0,0,1630893600,0,100,1630886272,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
127,1377,Activity 01,1,1,0,0,0,0,1600347600,1600012800,100,1606213659,0,1,1600347600,1601222400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
128,1377,Activity 02,1,1,0,0,0,0,1602142200,1602135000,100,1602125703,0,1,0,1603296000,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
129,1377,Activity 03 - 1,1,1,0,0,0,0,1602691140,1602480600,100,1602907967,0,1,0,1603641600,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
130,1377,Clear your Browsing History,1,1,0,0,0,0,1633312800,1604764800,100,1663051653,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,1
131,1377,Final Project - Lecture,1,1,0,0,0,0,1641571140,1638720000,100,1638877379,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
132,950,Submission Folder: Laboratory Exercise #1,1,0,0,0,0,0,0,0,100,1661310274,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
133,972,Submission Folder: Laboratory Exercise #1,1,0,0,0,0,0,0,0,1,1672313222,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
134,981,Submission Folder: Laboratory Exercise #1,1,0,0,0,0,0,0,0,100,1661310448,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
135,981,Submission Folder: Laboratory Exercise #2,1,0,0,0,0,0,0,0,100,1661311003,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
136,981,Submission Folder: Laboratory Exercise #3,1,0,0,0,0,0,0,0,100,1661311052,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
137,950,Submission Folder: Laboratory Exercise #2,1,0,0,0,0,0,0,0,100,1661311318,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
138,950,Submission Folder: Laboratory Exercise #3,1,0,0,0,0,0,0,0,100,1661311360,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
139,972,Submission Folder: Laboratory Exercise #2,1,0,0,0,0,0,1662534000,1662523200,1,1672314492,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
141,775,PEC Corrected Score of students,1,1,0,0,0,0,1663747200,1663113600,100,1663828661,0,1,0,1663819200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
142,775,Case #1 Roland Hortaleza,1,0,0,0,0,1,1665824400,1662595680,100,1664872628,1,1,0,1665918480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
143,775,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667469497,0,1,0,1670112480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
144,775,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667469607,0,1,0,1670112480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
145,782,PEC Corrected Score of students,1,1,0,0,0,0,1663747200,1663113600,100,1662626272,0,1,0,1663819200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
146,782,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663805280,100,1664872822,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
147,782,Assignment #1,1,1,0,0,0,0,1669453200,1667433600,100,1667471066,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
148,782,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667471141,0,1,0,1670112480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
149,789,PEC Corrected Score of students,1,1,0,0,0,0,1663747200,1663113600,100,1662626375,0,1,0,1663819200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
150,789,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663805280,100,1664873835,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
151,789,Assignment #1,1,0,0,0,0,0,1669453200,1667466000,100,1667471876,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
152,789,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667471947,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
153,796,PEC Corrected Score of students,1,1,0,0,0,0,1663718400,1663113600,100,1662627230,0,1,0,1663819200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
154,796,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663805280,100,1664874578,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
155,796,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667473182,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
156,796,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667473240,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
157,803,PEC Corrected Score of students,1,1,0,0,0,0,1663977600,1663372800,100,1662628259,0,1,0,1664078400,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
158,803,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663891200,100,1664875031,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
159,803,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667476914,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
160,803,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667476972,0,1,0,1670112480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
161,810,PEC Corrected Score of students,1,1,0,0,0,0,1663977600,1663372800,100,1662629393,0,1,0,1664078400,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
162,810,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663891200,100,1664875476,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
163,810,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667480167,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
164,810,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667480283,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
165,816,PEC Corrected Score of students,1,1,0,0,0,0,1663977600,1663372800,100,1662629820,0,1,0,1664078400,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
166,816,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663891200,100,1664875818,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
167,816,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667483722,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
168,816,Assignment #2,1,0,0,0,0,0,1669453200,1667433600,100,1667483931,0,1,0,1670112480,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
169,823,PEC Corrected Score of students,1,1,0,0,0,0,1663977600,1663372800,100,1662630254,0,1,0,1664078400,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
170,823,Case #1 Roland Hortaleza,1,0,0,0,0,0,1665824400,1663977600,100,1664876122,0,1,0,1665910800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
171,823,Assignment #1,1,0,0,0,0,0,1669453200,1667433600,100,1667484641,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
172,823,Assignment #2,1,0,0,0,0,0,1669280400,1667433600,100,1667484701,0,1,0,1670112000,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
225,1500,T1: Pretest,1,1,1,0,0,0,1644822060,1644206400,100,1662179180,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
226,1500,T1: Post test,1,1,0,0,0,0,1662220740,1662177600,100,1662182136,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
227,1500,T1: Assessment,1,1,1,0,0,0,1662220740,1662177600,100,1662182267,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
228,1500,T1: Assignment,1,1,1,0,0,0,1662220740,1662177600,50,1662346524,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
229,1500,T2: Pretest,1,1,0,0,0,0,0,1644811200,100,1665788654,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
230,1500,T2: Exercise,1,1,1,0,0,0,0,1645416000,100,1665788701,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
231,1500,T2: Exercise (copy),1,1,0,0,0,0,1632844740,1631066400,100,1634533228,0,1,1635004740,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
232,1500,T2: Assignment,1,1,1,0,0,0,1663343940,1631073600,100,1665788721,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
233,1500,Activityt in ICT,1,0,0,0,0,0,1663574400,1663390500,100,1665788622,0,1,1663603140,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
234,1500,Activity 1,1,1,0,0,0,0,1664035140,1663992000,100,1665788594,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
235,1500,Activity 2,1,1,0,0,0,0,1664035140,1663992000,100,1665788575,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
236,1500,T5: Pretest,1,1,0,0,0,0,1665212400,1647835200,100,1665788550,0,1,1665935940,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
237,1500,T5: Post test (Midterm Examination),1,1,0,0,0,0,1666429200,1665158400,100,1665788290,0,1,1666431000,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
238,1500,Digitalization Activity,1,1,0,0,0,0,1618588740,1617984000,100,1636477050,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
239,1500,MS Excel 01 - Practice Activity,1,1,0,0,0,0,1671292740,1637683200,100,1669877561,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
240,1500,MS Excel 02 - Activity,1,1,0,0,0,0,1651075140,1637683200,100,1650866854,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
241,1500,Upload your activity here (Practice Activity 3-6),1,1,0,0,0,0,1651075140,1637683200,100,1650866927,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
