id,category,sortorder,fullname,shortname,idnumber,summaryformat,format,showgrades,newsitems,relativedatesmode,marker,maxbytes,legacyfiles,showreports,visible,visibleold,downloadcontent,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,requested,enablecompletion,completionnotify,originalcourseid,showactivitydates,showcompletionconditions
87,26,250077,Pharm Care 1: Healthcare system and Healthcare System Pharmacy [3PHAR01],PHCARE1 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
88,26,250076,Experiential Learning 5: Community Pharmacy [4PHAR01],PHPRAC7 4PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
89,26,250075,Pharmacy Course Audit 1 [4PHAR01],PHCOA1 4PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
90,26,250074,Experiential Learning 4: Social and Administrative Pharmacy [4PHAR01],PHPRAC6 4PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
91,26,250073,Experiential Learning 3: Institutional Pharmacy [4PHAR01],PHPRAC5 4PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
92,26,250072,"Physical Activities Toward Health and Fitness 1 [1RDT01, 1RDT02]",PATHFIT1 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
93,26,250071,"National Service Training Program 1 [1RDT01, 1RDT02]",NSTP111 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
94,26,250070,"Introduction to Radiologic Technology and Health Care [1RDT01, 1RDT02]",RDT101 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
95,26,250069,"Mathematics in the Modern World [1RDT01, 1RDT02, 1RESPI01]",GEC113 1RDT01 1RDT02 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
96,26,250068,"The First and Greatest Commandment and the Trinitian [1RDT01, 1RDT02]",TCE111 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
97,26,250067,"Understanding the Self [1RDT01, 1RDT02, 1RESPI01]",GEC111 1RDT01 1RDT02 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
98,26,250066,"Purposive Communication [1RDT01, 1RDT02]",GEC114 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
99,26,250065,"Art Appreciation [1RDT01, 1RDT02]",GEC115 1RDT01 1RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
100,26,250064,"Readings in Philippine History [1RDT01, 1RDT02, 1RESPI01]",GEC112 1RDT01 1RDT02 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
101,26,250063,Radiation Production and Characteristics [2RDT01],RPC_101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
102,26,250062,Human Anatomy and Physiology [2RDT01],HAP_RDT101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
103,26,250061,"Film-Screen Image Acquisition, Processing and Image Analysis [2RDT01]",FIPI_101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
104,26,250060,Principles of Imaging [2RDT01],PI_101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
105,26,250059,Individual Sports [2RDT01)  Thursday 5:00PM-7:00PM,PED_103 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
106,26,250058,Mandarin 1 [2RDT01],FL_MAN101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
107,26,250057,People and the Earth's Ecosystems (Elective) [2RDT01],GEC_RT112 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
108,26,250056,"Professional Ethics, Jurisprudence and Cultural Sensitivity [2RDT01]",PEJC_101 2RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
109,26,250055,Competency Enhancement and Proficiency Appraisal [3RDT01],CEPA1 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
110,26,250054,Introduction to Research [3RDT01],IR_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
111,26,250053,Imaging Science and Informatics [3RDT01],ISI_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
112,26,250052,Radiologic Pathology [3RDT01],RPA_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
113,26,250051,Radiologic Contrast Examinations [3RDT01],RCE_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
114,26,250050,Computed and Digital Radiography [3RDT01],CDR_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
115,26,250049,Radiographic Positioning and Radiologic Procedures 2 [3RDT01],RPRP_102 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
116,26,250048,"Hospital Administration, Leadership and Entrepreneurship [3RDT01]",HALE 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
117,26,250047,Radiation Protection [3RDT01],RPR_101 3RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
118,26,250046,Clinical Education I 5 1/2 months Hospital Training [4RDT01],CED_101 4RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
119,26,250045,Seminar 101 [4RDT01],BSRADTE_101 4RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
120,26,250044,Competency 101 [4RDT01],BSRADTI_101 4RDT01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
121,26,250043,Clinical Education II 5 1/2 months Hospital Training [4RDT02],CED_102 4RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
122,26,250042,Seminar 102 [4RDT02],BSRADTE_102 4RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
123,26,250041,Competency 102 [4RDT02],BSRADTI_102 4RDT02 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
124,26,250040,The First and Greatest Commandment and the Trinitian [1RESPI01],TCE111 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,1,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
125,26,250039,National Service Training Program 1 [1RESPI01],NSTP111 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,0,1
126,26,250038,Physical Activities Toward Health and Fitness 1 [1RESPI01],PATHFIT1 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
127,26,250037,Human Anatomy and Physiology [1RESPI01],RES101 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
128,26,250036,Art Appreciation [1RESPI01],GEC115 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
129,26,250035,Understanding the Self [1RESPI01],GEC111 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,0,1
130,26,250034,Readings in Philippine History [1RESPI01],GEC112 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,0,1
131,26,250033,Purposive Communication [1RESPI01],GEC114 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
132,26,250032,Life and Works of Rizal [1RESPI01],GEC119 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,0,1
133,26,250031,Mathematics in the Modern World [1RESPI01],GEC113 1RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,0,1
134,26,250030,Microbiology for RT [2RESPI01],MRT_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
135,26,250029,Medical Terminology [2RESPI01],MT_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
136,26,250028,Health Education for RT [2RESPI01],HERT_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
137,26,250027,RT Computer Concepts [2RESPI01],RTCC_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
138,26,250026,Individual Sports [2RESPI01],PE_103 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
139,26,250025,Biochemistry in RT [2RESPI01],BRT_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
140,26,250024,Cardio-Respiratory Anatomy & Physiology [2RESPI01],CRAP_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
141,26,250023,Fundamentals of RT I [2RESPI01],FRT_101 2RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
142,26,250022,Test of Pulmonary Function [3RESPI01],TPF_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
143,26,250021,Ventilation & Gas Exchange Monitoring [3RESPI01],VGEM_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
144,26,250020,Mandarin 1 [3RESPI01],FL_MAN101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
145,26,250019,Environmental Science (Elective) [3RESPI01],GEC_RT111 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
146,26,250018,Cross-Cultural Studies and Communication [3RESPI01],CCSC_100 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
147,26,250017,Pulmonary Rehabilitation [3RESPI01],PR_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
148,26,250016,Airway Management [3RESPI01],AM_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
149,26,250015,Introduction to Polysomnography [3RESPI01],IP_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
150,26,250014,Introduction to Research method [3RESPI01],IRM_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
151,26,250013,Pulmonary Disease Management [3RESPI01],PDM_101 3RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
152,26,250012,Clinical Education I (Practicum) [4RESPI01],CEP_101 4RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
153,26,250011,Respiratory Care Seminar 1 [4RESPI01],RCS_101 4RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
154,26,250010,Clinical Research I [4RESPI01],CR_101 4RESPI01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
