id,course,name,intro,introformat,tobemigrated,legacyfiles,legacyfileslast,display,displayoptions,filterfiles,revision,timemodified
18,36,FACULTY OF THE MASTER OF ARTS IN NURSING PROGRAM ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597853301
19,36,FACULTY OF THE DOCTOR IN NURSING MANAGEMENT PROGRAM ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597853348
20,36,FACULTY OF THE MA EDUCATION AND DOCTOR OF EDUCATION PROGRAMS ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597853163
21,36,FACULTY OF THE MASTER IN BUSINESS ADMINISTRATION AND MASTER IN MANAGEMENT PROGRAMS ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1597853415
22,36,FACULTY OF THE DOCTOR OF PUBLIC ADMINISTRATION AND MASTER IN PUBLIC ADMINISTRATION PROGRAMS,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597853488
23,36,FACULTY OF THE MASTER IN HOSPITALITY MANAGEMENT PROGRAM ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597853261
24,36,FACULTY OF THE MASTER OF SCIENCE IN MEDICAL TECHNOLOGY PROGRAM,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597853781
25,36,JULY 2019 SCHOOL SUPPLIES DISTRIBUTION ,"<p dir=""ltr"" style=""text-align: left;"">SEND A CHILD TO SCHOOL PROGRAM&nbsp;</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597550035
26,36,CHRISTMAS GIFT GIVING 2019 ,"<p dir=""ltr"" style=""text-align: left;"">CHISTmas in our Hearts 2019&nbsp;</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597550242
27,36,"RELIEF OPERATION 2020 AT CALATAGAN, BATANGAS ","<p dir=""ltr"" style=""text-align: left;"">REACHING OUT TO SURVIVORS OF THE TAAL VOLCANIC ERUPTION&nbsp;</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597550450
28,36,GS COMMUNITY OUTREACH ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597851029
29,36,GS COMMUNITY EXTENSION SERVICE ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597851092
30,36,CDS REPORT FOR SEPTEMBER,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597851226
31,36,GS JOURNAL OF ABSTRACTS ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597468868
32,36,PACSA LEADERSHIP TRAINING 2019 ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597854656
33,36,GS STUDENTS AND FACULTY CHRISTMAS PARTY 2019 ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597854824
34,36,DOCTOR OF EDUCATION CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598193171
35,36,DOCTOR IN NURSING MANAGEMENT CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1598193333
36,36,DOCTOR OF PUBLIC ADMINISTRATION CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598193308
37,36,MASTER OF ARTS IN NURSING CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598193691
38,36,MASTER OF ARTS IN EDUCATION CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598193512
39,36,MASTER IN BUSINESS ADMINISTRATION CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598193765
40,36,MASTER IN HOSPITAL MANAGEMENT CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598193826
41,36,MASTER IN MANAGEMENT CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598193898
42,36,MASTER OF SCIENCE IN MEDICAL TECHNOLOGY CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598194029
43,36,MASTER IN PUBLIC ADMINISTRATION CURRICULUM CHECKLIST ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598194106
44,36,PARTNER ORGANIZATIONS ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1599468763
45,36,EBSCO TUTORIAL FROM THE GS LIBRARIAN ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598194245
46,36,ACADEMIC ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598203490
47,36,CALENDAR ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598844930
48,36,RESEARCH GUIDE,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1599468032
49,38,Organizational Chart,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1659419182
50,38,Staff and Facilities,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRhjnIoU_dIB5V4eBxeb3hMq6ikHWxZ7DeqQVxpJQ2Hq5bLFoaJxT2A2QMhGrdXliU-aymGR53KP3gu/embed?start=true&amp;loop=false&amp;delayms=3000"" allowfullscreen=""true"" mozallowfullscreen=""true"" webkitallowfullscreen=""true"" width=""960"" height=""569"" frameborder=""0""></iframe><p dir=""ltr"" style=""text-align: left;""><br></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,10,1659422215
51,43,The TUA Campus Ministry,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1629764538
52,43,Three Areas of Service,"<p dir=""ltr"" style=""text-align: left;"">What services we offer.</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,4,1597379584
53,43,Campus Ministry Frame,"<p dir=""ltr"" style=""text-align: left;"">The structure of the Campus Ministry in diagram form.</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1597379652
54,43,"Sacramental, Liturgical, and Pastoral Request ","<p dir=""ltr"" style=""text-align: left;"">Click here to download request form.</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597379811
55,44,CHED COVID-19 ADVISORY 1,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597371282
56,44,CHED COVID-19 ADVISORY 2,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597371632
57,44,CHED COVID-19 ADVISORY 3,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597372382
58,44,CHED COVID-19 ADVISORY 4,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597372440
59,44,CHED COVID-19 ADVISORY 5,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597372579
60,44,CHED COVID-19 ADVISORY 6,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597372637
61,44,CHED COVID-19 ADVISORY 7,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597372704
62,44,MODIFIED ACADEMIC CALENDAR FOR 2ND SEMESTER 2020-2021,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1614142730
63,48,Tips to Improve your Mental Well-being,"<p dir=""ltr"" style=""text-align: left;""><em>Give yourself a pat on the back for doing a good job this week. Recharge and have some ""me time"" this coming weekend. You deserve it! Here are some ideas to help you recharge and relax.</em></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:0;}",0,5,1645626417
64,48,Self-care during COVID - 19,"<p style=""text-align: left;""><em>Washing your hands and practicing social distancing are great practical ways to take care of your physical health during this time. However, it is also important to take care of our mental health.</em><em style=""font-size: 0.9375rem;"">&nbsp;</em></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,6,1645626584
65,48,Grit: A Complete Guide on Being Mentally Tough,"<p dir=""ltr"" style=""text-align: left;""><em>The opening of classes is now fast approaching and with the extension of quarantines, unpredictable pandemic situation, plus the unknown new normal way of learning, we need to be mentally firm as well. Being healthy includes your mental welfare too.</em><br></p><p dir=""ltr"" style=""text-align: left;""><em><img src=""@@PLUGINFILE@@/Grit%20%281%29.jpg"" alt="""" width=""240"" height=""600"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></em></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,4,1597807518
66,48,Character Strengths for Success,"<p dir=""ltr"" style=""text-align: left;"">Planning for your career? The Guidance Center wants to help with your career success by discussing Character Strengths.<br><br>24 Character strengths were introduced by Seligman and Peterson (2004), which contribute to ""good life"" and well-being. Moreover, there has been an increasing study of Character strength to job satisfaction and career success (Ruch, 2019).<br></p><p dir=""ltr"" style=""text-align: left;"">&nbsp;<img src=""@@PLUGINFILE@@/1.png"" alt="""" width=""400"" height=""335"" role=""presentation"" class=""img-responsive atto_image_button_middle""></p><p dir=""ltr"" style=""text-align: left;""><br></p><p dir=""ltr"" style=""text-align: left;""><br></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,4,1644393082
67,49,TCDS Goals and Objectives,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596780118
68,49,TCDS History ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,4,1596778227
69,49,TCDS Logo,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596778336
70,51,Doctor of Education (EdD),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699284
71,51,Doctor in Nursing Management (DNM),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699307
72,51,Doctor of Public Administration (DPA),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699332
73,51,Master in Business Management (MBA),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699353
74,51,Master in Hospital Management (MHM),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699372
75,51,Master in Marketing (MM),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699409
76,51,Master in Public Administration (MPA),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699393
77,51,Master of Arts in Education (MAEd),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699426
78,51,Master of Arts in Nursing (MAN),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699444
79,51,Master of Science in Medical Technology (MSMT),,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596699461
80,51,Biology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596708605
81,51,Broadcasting,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596953808
82,51,Early Childhood Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596956290
83,51,English Language,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596704807
84,51,Psychology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596708052
85,51,Secondary Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596704310
86,51,Special Needs Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596704587
87,51,Accountancy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596703826
88,51,Business Administration,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596707458
89,51,Human Resource Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596702100
90,51,Marketing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596702925
91,51,Public Administration,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596709044
92,51,Real Estate Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596702513
93,51,Computer Engineering,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596705122
94,51,Information Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596705703
95,51,Medical Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596707082
96,51,Nursing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596706869
97,51,Pharmacy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596701252
98,51,Radiologic Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1645339500
99,51,Respiratory Therapy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596700862
100,51,Hospitality Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596703588
101,51,Tourism,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596703382
102,51,"Course Reserves List: First Semester, SY 2020-2021",,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,12,1606871321
103,51,"Course Reserves List: Second Semester, SY 2020-2021",,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,6,1627006959
104,51,"Course Reserves: Summer, SY 2020-2021",,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1627378769
105,51,"Course Reserves List: 1st Semester, SY 2021-2022","<p>&lt;<iframe src=""https://drive.google.com/file/d/1-zDO8BLRsipmaQDWkvZv8TlMn4sEQmp7/preview"" width=""640"" height=""480"" allow=""autoplay""></iframe>&gt;</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,5,1636595916
106,51,GEC_103 Mathematics in the Modern World,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1643880371
107,51,GEC_104 Purposive Communication,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1643876976
108,51,"GEC_109 Science, Technology and Society",,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1643878132
109,51,GEC_112 Life and Works of Rizal,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1643882879
110,51,2018-2019,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628758351
111,51,2016-2017,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628758185
112,51,2018,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628752965
113,51,2017,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628752765
114,51,2016,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628752615
115,51,2007-2012,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628751910
116,51,2013-2014,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628752078
117,51,1990-2004,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628751320
118,51,2003,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628837842
119,51,2002,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628837684
120,51,2001,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628837388
121,51,2000,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628838014
122,51,1999,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628838339
123,51,1994-1997,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628838191
124,51,1989-1993,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628755333
125,51,1985-1988,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628755184
126,51,1981-1984,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628755045
127,51,1970-1980,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628754796
128,51,1969,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628756633
129,51,1951-1968,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628756880
130,51,2019,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628750465
131,51,2018,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1629154504
132,51,2017,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628750140
133,51,2016,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628838600
134,51,2015,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628752288
135,51,2012,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628237009
136,51,2011,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1628235939
137,51,2010,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1628235920
138,51,2009,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628240156
139,51,2008,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628240281
140,51,2007,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628240395
141,51,2006,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628747259
142,51,2000-2005,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628240667
143,51,1990s,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1628240786
144,51,Accountancy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597287662
145,51,Broadcasting,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596955439
146,51,Human Resource Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597199420
147,51,Early Childhood Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596957500
148,51,Computer Engineering,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597295646
149,51,Culinary Arts,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597296938
150,51,Hospitality Management,"<p dir=""ltr"" style=""text-align: left;""><br></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1598073888
151,51,Information Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597289891
152,51,Marketing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597282657
153,51,Medical Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596711699
154,51,Nursing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1596711531
155,51,Pharmacy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596765291
156,51,Psychology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596958413
157,51,Public Administration,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596710843
158,51,Radiologic Technology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596763909
159,51,Real Estate Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597288417
160,51,Respiratory Therapy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596762744
161,51,Secondary Education major in English,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596957774
162,51,Special Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596958013
163,51,Tourism,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1598064038
164,51,E-Thesis/ Dissertation Guide for Doctor in Nursing Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597109860
165,51,E-Thesis/ Dissertation Guide for Master of Arts in Nursing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597109593
166,51,E-Thesis/ Dissertation Guide for Master of Arts in Education,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597110701
167,51,Accounting,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1631519486
168,51,Marketing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598530632
169,51,Catering,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598076711
170,51,Tourism,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1598082292
171,51,Clinical Teaching,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596785544
172,51,Health Law and Ethics,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596786548
173,51,Human Resource Management in Nursing,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1631520696
174,51,Nursing Administration,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596787455
175,51,Pharmacokinetics,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596967343
176,51,Administrative Communication,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1598530882
177,51,Cross Cultural Studies and Communication,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1600245484
178,51,Ethics and Social Responsibility,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598530981
179,51,Government Policies and their Implementation,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1598531194
180,51,Human Behavior in Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596788526
181,51,Legal Issues and Government Administration & Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596788696
182,51,Organization and Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596788871
183,51,Public Fiscal Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1599806208
184,51,Public Personnel Administration,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1596789462
185,51,Theory and Practice of Public Organization Problems,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1599805993
186,51,Competency Enhancement and Proficiency Appraisal,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1645064523
187,51,Computed and Digital Radiography,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645065312
188,51,Computed Tomography,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645065916
189,51,Film-Screen Image Acquisition Processing and Image Analysis,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645066265
190,51,"Hospital Administration, Leadership and Entrepreneurship",,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645066750
191,51,Human Anatomy and Physiology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1645064502
192,51,Imaging Science and Informatics,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645166384
193,51,Interventional Radiology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645166859
194,51,Introduction to Radiologic Technology and Health Care,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1645165424
195,51,Introduction to Research,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645165373
196,51,Magnetic Resonance Imaging ,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645167648
197,51,Mammography,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645167920
198,51,Nuclear Medicine,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645168135
199,51,Patient Care and Management,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645245344
200,51,Pharmacology and Venipuncture,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645251733
201,51,Principles of Imaging,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645251963
202,51,Quality Assurance and Quality Control,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645252375
203,51,Radiation Protection,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645252602
204,51,Radiologic Pathology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645252782
205,51,Radiation Therapy,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645253078
206,51,Radiobiology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645253669
207,51,Radiographic Anatomy and Physiology,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645255883
208,51,Radiologic Contrast Examinations,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645256631
209,51,Ultrasonography,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645257086
210,51,Anglicanism,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645773940
211,51,Biblical & Historical Foundations of CE,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1645852260
