id,course,name,intro,introformat,timemodified
11,13,T3W7 - MS Teams,"<h4 style=""text-align: left;""><span><span class="""" style=""color: rgb(0, 168, 65);"">T3W7 - MS Teams</span></span></h4>",1,1611151872
12,14,"
Disclaimer: All content and videos are extracted...","<hr>
<p><b>Disclaimer:</b> All content and videos are extracted from a free course from Moodle HQ. Permission was granted. No profit has been made from using this course.</p>",1,1592048351
13,14,"
IMPORTANT
Note: Please take note that not all a...","<hr>
<p><span style=""width:40%;font-size:30px;"" class=""label label-warning"">IMPORTANT</span></p>
<p><b>Note:</b> Please take note that <u>not all</u> activities/resources/settings are made available to teachers. Such settings are set-up by the Moodle administrator.&nbsp;</p><p>(eg. Enrolment may not be available to teachers if restricted by the administrator)</p>",1,1592221244
14,16,Label,"<p dir=""ltr"" style=""text-align: center;""><a href=""https://moodle4.tualearning.com/mod/page/view.php?id=106""><img src=""@@PLUGINFILE@@/2.png"" alt="""" width=""1550"" height=""345"" role=""presentation"" class=""img-responsive atto_image_button_middle""></a><br></p><p dir=""ltr"" style=""text-align: center;""><a href=""https://moodle4.tualearning.com/mod/page/view.php?id=107&amp;forceview=1""><img src=""@@PLUGINFILE@@/3.png"" alt="""" width=""1550"" height=""345"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></a><br></p><p dir=""ltr"" style=""text-align: center;""><a href=""https://moodle4.tualearning.com/mod/lti/view.php?id=114&amp;forceview=1""><img src=""@@PLUGINFILE@@/4.png"" alt="""" width=""1550"" height=""345"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></a><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/5.png"" alt="""" width=""1550"" height=""780"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1632109660
15,18,For any concerns (click here)Contact us&nbsp;(seni...,"<p dir=""ltr"" style=""text-align: right;""><strong><span class="""" style=""color: rgb(8, 122, 0);"">For any concerns </span></strong><span class="""" style=""color: rgb(8, 122, 0);"">(</span><a href=""https://docs.google.com/forms/d/e/1FAIpQLSfO-k6NxYjRDB7fPM4iYmmFZZVPrfwpMLqbCCXS_ORJr-o2fw/viewform?usp=sf_link"" target=""_blank""><span class="""" style=""color: rgb(8, 122, 0);"">click here</span></a><span class="""" style=""color: rgb(8, 122, 0);"">)</span></p><p dir=""ltr"" style=""text-align: right;""><span class="""" style=""color: rgb(8, 122, 0);""><strong><span>Contact us&nbsp;</span></strong>(seniorhighschool@tua.edu.ph)<br></span></p>",1,1597673015
16,18,WELCOMING MESSAGES,<h3><strong>WELCOMING MESSAGES</strong></h3>,1,1597407452
17,18,SHS FAMILY,<h3><strong>SHS FAMILY</strong></h3>,1,1597407514
18,18,PROGRAM OFFERINGS,<h3><strong>PROGRAM OFFERINGS</strong></h3>,1,1597562944
19,22,WELCOME TO THE PSYCHOLOGY DEPARTMENT,"<h3 style=""text-align: left;""><span class="""" style=""color: rgb(102, 255, 51);""><strong><span class="""" style=""color: rgb(11, 127, 92);"">WELCOME TO THE PSYCHOLOGY DEPARTMENT</span></strong></span></h3>",1,1597426813
20,22,CAREER PATHS,"<h3 style=""text-align: left;""><span class="""" style=""color: rgb(51, 255, 102);""><strong><span class="""" style=""color: rgb(11, 127, 92);"">CAREER PATHS</span></strong></span></h3>",1,1597426649
21,22,MEET THE PSYCHOLOGY FACULTY,"<h3><span class="""" style=""color: rgb(102, 255, 51);""><strong><span class="""" style=""color: rgb(11, 127, 92);"">MEET THE PSYCHOLOGY FACULTY</span></strong></span></h3>",1,1597426526
22,22,STUDENT RECOGNITION,"<h3 style=""text-align: left;""><span class="""" style=""color: rgb(102, 255, 51);""><strong><span class="""" style=""color: rgb(10, 123, 89);"">STUDENT RECOGNITION</span></strong></span></h3>",1,1597419421
23,22,STUDENT AND FACULTY ACTIVITIES,"<h3><span class="""" style=""color: rgb(10, 123, 89);""><strong>STUDENT AND FACULTY ACTIVITIES</strong></span></h3>",1,1597420336
24,22,PSYCH HANGOUTS,"<h3><span class="""" style=""color: rgb(0, 102, 0);""><strong>PSYCH HANGOUTS</strong></span></h3>",1,1597436819
25,22,Brief History,<h4><strong>Brief History</strong></h4>,1,1597333478
26,22,The Faculty Members,"<h4 style=""text-align: left;""><strong>The Faculty Members</strong></h4>",1,1597333541
27,22,The Department Head,"<h4 style=""text-align: left;""><strong>The Department Head</strong></h4>",1,1597333585
28,22,Outstanding Features,<h4><span><span><strong>Outstanding Features</strong></span></span></h4>,1,1597333691
29,22,BA Broadcasting,<h4><span><span><strong>BA Broadcasting</strong></span></span></h4>,1,1597333754
30,22,BA Communication,<h4><span><span><strong>BA Communication</strong></span></span></h4>,1,1597333932
31,22,MediatioN: Media and Communication WebTalk Series,"<h4 style=""text-align: left;""><span><strong>MediatioN: Media and Communication WebTalk Series</strong></span></h4>",1,1597405737
32,22,The Platinum Stallion Media Awards,"<h4 style=""text-align: left;""><strong>The Platinum Stallion Media Awards</strong></h4>",1,1597407733
33,22,Student Life&nbsp;,"<h4 style=""text-align: left;""><strong>Student Life&nbsp;</strong></h4>",1,1597334186
34,22,MAC Games,"<h4 style=""text-align: left;""><strong>MAC Games</strong></h4>",1,1597454549
35,22,Faculty Profiles,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 46, 184);"">Faculty Profiles</span></strong></h3>",1,1597178951
36,22,"Program Offerings



","<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 46, 184);"">Program Offerings</span></strong></h3>



<p></p>",1,1597369233
37,22,Alumni&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;Batch 2020 ...,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 46, 184);"">Alumni</span></strong></h3><p><strong><span class="""" style=""color: rgb(0, 46, 184);""><span><span class="""" style=""color: rgb(0, 133, 64);"">&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<span class="""" style=""color: rgb(0, 107, 39);""><u><a href=""https://drive.google.com/file/d/12myrhMeTNdvUUReZeiqLJQtkOY7oArhp/view?usp=sharing"" target=""_blank"">Batch 2020 Alumni Officers</a></u></span></span></span></span></strong></p><p><strong><span class="""" style=""color: rgb(0, 46, 184);""><span><span class="""" style=""color: rgb(0, 133, 64);""><span>&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<a href=""https://docs.google.com/presentation/d/e/2PACX-1vSlBkXf9p5LQXl5vZ5Kf4AsBNih85zpOBKRoa8I8gMJt2yVqRiCIOmv6BMdyYlj9Q/pub?start=true&amp;loop=true&amp;delayms=3000"" style=""text-decoration-line: underline;"">Testimonials</a></span></span></span></span></strong></p>",1,1597184753
38,22,Program Details,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(15, 133, 33);"">Program Details</span></strong></h3>",1,1597625158
39,22,Meet the Faculty,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(15, 133, 33);"">Meet the Faculty</span></strong></h3>",1,1597630040
40,22,"We,
as part of the Trinitian
Community values yo...","<p dir=""ltr"" style=""text-align: center;""><strong style=""color: rgb(69, 90, 100); font-size: 1.17188rem;""><span class="""" style=""color: rgb(0, 0, 0);"">We,
as part of the Trinitian
Community values your health and safety at the&nbsp;</span></strong><strong style=""color: rgb(69, 90, 100); font-size: 1.17188rem;""><span class="""" style=""color: rgb(0, 0, 0);"">same time will ensure a means to
provide quality education by delivering</span></strong><strong style=""color: rgb(69, 90, 100); font-size: 1.17188rem;""><span class="""" style=""color: rgb(0, 0, 0);"">&nbsp;lessons through the Trinity Learning
Cloud (TLC).</span></strong></p><p dir=""ltr"" style=""text-align: center;""><strong style=""color: rgb(0, 0, 0); font-size: 1.40625rem;"">NO
ONE IS LEFT BEHIND.</strong></p><p></p>",1,1597138930
41,22,Label,"<p style=""text-align: center;""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vhALyvhbaMY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" style=""font-size: 0.9375rem;""></iframe></p>",1,1597290850
42,22,"MEET TUA STUDENT ORGANIZATIONS _ AY 2019-2020
","<p dir=""ltr"" style=""text-align: left;""><strong>MEET TUA STUDENT ORGANIZATIONS _ AY 2019-2020</strong></p>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zvnh-NhtREo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>",1,1597305823
43,22,Project Description,"<h4 style=""text-align: left;""><strong>Project Description</strong></h4>",1,1597394977
44,22,TrinityTalk (Season One),"<h4 style=""text-align: left;""><strong>TrinityTalk (Season One)</strong></h4>",1,1597393412
45,22,Learning Chinese Culture through its traditional h...,"<p dir=""ltr"" style=""text-align: left;""><h4><strong>Learning Chinese Culture through its traditional holidays</strong></h4></p>",1,1604828658
46,22,Certificate Professional Competency,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 0, 0);"">Certificate Professional Competency</span></strong></h3>",1,1597318569
47,22,Intensive Language Programs,"<h3 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 0, 0);"">Intensive Language Programs</span></strong></h3><p><strong><span class="""" style=""color: rgb(0, 0, 0);""><img src=""@@PLUGINFILE@@/image.png"" alt="""" width=""600"" height=""338"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></span></strong></p>",1,1597319703
48,22,Label,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/image.png"" alt="""" width=""701"" height=""313"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></p>",1,1597319738
49,22,Label,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/image%20%281%29.png"" alt="""" width=""617"" height=""300"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></p>",1,1597319821
50,22,Label,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/image%20%282%29.png"" alt="""" width=""701"" height=""358"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></p>",1,1597319893
51,22,Statistics and Data Analytics ConsultancyWe give c...,"<h4 style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 0, 0);"">Statistics and Data Analytics Consultancy</span></strong></h4><p><strong></strong></p><p><strong><strong><span><img src=""@@PLUGINFILE@@/image%20%287%29.png"" alt="""" width=""642"" height=""215"" role=""presentation"" class=""img-responsive atto_image_button_middle""><br></span></strong></strong></p><p><strong><strong><span></span></strong></strong></p><h5><strong><strong><strong><span class="""" style=""color: rgb(0, 0, 0);"">We give consultancy services for Statistical analysis of quantitative and qualitative data in undergraduate and graduate studies.&nbsp;</span><span class="""" style=""color: rgb(0, 0, 0);"">Special Tutorial class for students that needs special attention in the field of Mathematics and Physical Sciences.</span></strong></strong></strong></h5><strong><br><p></p><p></p><p dir=""ltr""></p></strong><p></p>",1,1597318919
52,22,CHEMISTRY AND PHYSICS LABORATORY&nbsp; FACILITIESW...,"<h4 style=""text-align: left;""><b><span class="""" style=""color: rgb(0, 0, 0);"">CHEMISTRY AND PHYSICS LABORATORY&nbsp; FACILITIES</span></b></h4><p><b><span class="""" style=""color: rgb(0, 0, 0);""></span></b></p><p><b><span>We provide an opportunity for students to use the laboratory facilities for their research and experiments in the medical-related courses such as Biology, Nursing, Medical Technology, Allied Health and Psychology.&nbsp;</span></b></p><p style=""text-align: center;""><b><span><img src=""@@PLUGINFILE@@/image%20%284%29.png"" alt="""" width=""600"" height=""216"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></span></b></p><strong><br><p></p><p dir=""ltr""><br></p><p dir=""ltr""><br>

</p><br></strong><p></p>",1,1597319124
53,22,Label (copy),<hr>,1,1598069099
54,22,SY 20-21 1st Semester TUA Class Schedules,"<h3 style=""text-align: left;"">SY 20-21 1st Semester TUA Class Schedules</h3>",1,1598067110
55,22,Label (copy) (copy),<hr>,1,1598069099
56,22,Be Inspired!,"<h4 style=""text-align: left;""><strong>Be Inspired!</strong></h4>",1,1597403074
57,22,Label (copy) (copy) (copy),<hr>,1,1598069099
58,22,CASE Administrative Committee,"<h4 style=""text-align: left;""><strong>CASE Administrative Committee</strong></h4>",1,1597505236
59,22,Label (copy) (copy) (copy) (copy),<hr>,1,1598069099
60,22,INTERFACE,"<h4 style=""text-align: left;""><strong>INTERFACE</strong></h4>",1,1597403852
61,22,Label,,1,1597493489
62,23,Label,"<h4 style=""text-align: center;""><u style=""font-size: 1.40625rem; color: rgb(73, 80, 87);""><span class="""" style=""color: rgb(255, 204, 51);""><strong><span class="""" style=""color: rgb(46, 0, 0);""><img src=""@@PLUGINFILE@@/CBMA%20ORG%20CHART%202020.jpg"" alt="""" width=""906"" height=""700"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></span></strong></span></u><br></h4>",1,1597872438
63,23,VISION AND MISSION,"<h4 style=""text-align: center;""><u><span class="""" style=""color: rgb(61, 0, 0);""><strong>VISION AND MISSION</strong></span></u></h4><p style=""text-align: center;""><u><span class="""" style=""color: rgb(61, 0, 0);""><img src=""@@PLUGINFILE@@/CBMA2020%20MIsion%20VIsion.jpg"" alt="""" width=""675"" height=""900"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></span></u></p>",1,1596685049
64,25,&nbsp; &nbsp; &nbsp;&nbsp;WELCOME MESSAGES,"<p style=""text-align: left;""><strong><span class="""" style=""color: rgb(0, 61, 245);"">&nbsp; &nbsp; &nbsp;&nbsp;<img src=""@@PLUGINFILE@@/TUA%20Official%20Logo.png"" alt="""" width=""25"" height=""25"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom"">WELCOME MESSAGES</span></strong></p>",1,1597428279
65,25,Label,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/TUA%20Learning%20Cloud%20PPT%20TEmplate1.png"" alt=""IM"" width=""960"" height=""720"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1597485744
66,25,Label,"<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide1.JPG"" alt=""a"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide2.JPG"" alt=""b"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide3.JPG"" alt=""a"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide4.JPG"" alt=""1"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide5.JPG"" alt=""a"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p><p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Slide6.JPG?time=1605887028199"" alt=""a"" width=""800"" height=""450"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1605887046
67,25,Label,"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
68,25,Label,"<p style=""text-align: center;""><br></p>",1,1597395187
69,25,Label,"<img src=""@@PLUGINFILE@@/MOS.PNG"" alt="""" width=""477"" height=""100"" role=""presentation"" class=""img-responsive atto_image_button_middle""><p dir=""ltr"" style=""text-align: center;""><br></p>",1,1628131761
70,25,The quiz is to test your knowledge in Office 2019 ...,"<h5 style=""text-align: left;""><span class="""" style=""color: rgb(0, 46, 184);"">The quiz is to test your knowledge in Office 2019 / Office 365 - MS Word</span></h5>",1,1629094936
71,25,CEIS TLC and ClassIn Student Orientation,"<h3 style=""text-align: left;""><span class="""" style=""color: rgb(0, 46, 184);""><u><br></u></span></h3><h3 style=""text-align: left;""><span class="""" style=""color: rgb(0, 46, 184);""><u>CEIS TLC and ClassIn Student Orientation</u></span></h3>",1,1629653143
72,25,Label (copy) (copy) (copy),"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
73,25,Label (copy) (copy) (copy) (copy),"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
74,25,"
58TH COMMENCEMENT EXERCISES: Graduate School and...","<p style=""text-align: center;""><iframe width=""600"" height=""366"" src=""https://www.youtube.com/embed/q37JdNptvVs"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" style=""font-size: 0.9375rem;""></iframe></p>
<h5 style=""text-align: left;""><strong><span class="""" style=""color: rgb(51, 102, 255);"">58TH COMMENCEMENT EXERCISES:</span></strong> <span class="""" style=""color: rgb(0, 0, 0);"">Graduate School and College&nbsp;</span></h5>",1,1597577175
75,25,Label (copy),"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
76,25,Try our IT Word Puzzle&nbsp;Click HERE to play,"<h4 style=""text-align: left;""><span class="""" style=""color: rgb(51, 102, 255);""><strong>Try our IT Word Puzzle&nbsp;</strong></span></h4><h5><span class="""" style=""color: rgb(51, 102, 255);""><strong><a href=""$@GAMEVIEWBYID*7435@$""><img src=""@@PLUGINFILE@@/254-2541259_big-image-crossword-puzzle-logo%20%281%29.png"" alt=""puzzle"" width=""200"" height=""205"" class=""img-responsive atto_image_button_text-bottom""></a><span class="""" style=""color: rgb(255, 51, 102);"">Click HERE to play</span></strong></span></h5>",1,1596955112
77,25,Label,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Border2.png"" alt=""line"" width=""1365"" height=""8"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1596955398
78,25,"Let's play SNAKE &amp; LADDERClick HERE to play","<h4 style=""text-align: left;""><span class="""" style=""color: rgb(0, 61, 245);""><strong>Let's play SNAKE &amp; LADDER</strong></span></h4><h5><span class="""" style=""color: rgb(51, 102, 255);""><strong><span class="""" style=""color: rgb(255, 51, 102);""><a href=""$@GAMEVIEWBYID*7474@$""><img src=""@@PLUGINFILE@@/254-2541259_big-image-crossword-puzzle-logo.png?time=1596956893455"" alt=""snake"" width=""200"" height=""164"" class=""img-responsive atto_image_button_text-bottom""></a>Click HERE to play</span></strong></span></h5>",1,1596956929
79,25,Label (copy),"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Border2.png"" alt=""line"" width=""1365"" height=""8"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1596955398
80,25,Who wants to play?Click HERE to play,"<h5 style=""text-align: left;""><b><span class="""" style=""color: rgb(51, 102, 255);"">Who wants to play?</span></b></h5><h5><span class="""" style=""color: rgb(51, 102, 255);""><strong><span class="""" style=""color: rgb(255, 51, 102);""><a href=""$@GAMEVIEWBYID*7761@$""><img src=""@@PLUGINFILE@@/39773061124_c3a1201fd5_b.jpg"" alt=""WANT"" width=""150"" height=""150"" class=""img-responsive atto_image_button_text-bottom""></a>Click HERE to play</span></strong></span></h5>",1,1596979570
81,25,Label (copy) (copy),"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Border2.png"" alt=""line"" width=""1365"" height=""8"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1596955398
82,25,"It's time for HANGMANClick HERE to play (copy)","<h4 style=""text-align: left;""><span class="""" style=""color: rgb(0, 61, 245);""><strong>It's time for HANGMAN</strong></span></h4><h5><span class="""" style=""color: rgb(51, 102, 255);""><strong><span class="""" style=""color: rgb(255, 51, 102);""><a href=""$@GAMEVIEWBYID*7477@$&amp;forceview=1""><img src=""@@PLUGINFILE@@/254-2541259_big-image-crossword-puzzle-logo.png"" alt=""hang"" width=""200"" height=""210"" class=""img-responsive atto_image_button_text-bottom""></a>Click HERE to play</span></strong></span></h5>",1,1596957079
83,25,Label (copy) (copy),"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
84,25,"



    
    
    
    ","<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/117134533_918557565316673_7988157500892247479_o.jpg"" alt=""PIC1"" width=""700"" height=""906"" class=""img-responsive atto_image_button_text-bottom""><br></p>
<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Border2.png"" alt=""LINE1"" width=""1365"" height=""8"" class=""img-responsive atto_image_button_text-bottom"" style=""font-size: 0.9375rem;""><br></p>
<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/116856385_915423618963401_6097720280284050172_n.jpg"" alt=""PIC2"" width=""700"" height=""883"" class=""img-responsive atto_image_button_text-bottom"" style=""font-size: 0.9375rem;""></p>
<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Border2.png?time=1596906641364"" alt=""LINE"" width=""1365"" height=""8"" class=""img-responsive atto_image_button_text-bottom"" style=""font-size: 0.9375rem;""><br></p>
    <p dir=""ltr"" style=""text-align: center;""><br></p>
    <p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/107799741_935677836898112_9178216249635288190_n.jpg"" alt=""PIC 3"" width=""700"" height=""496"" class=""img-responsive atto_image_button_text-bottom""><br></p>
    <p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Border2.png"" alt=""LINE1"" width=""1365"" height=""8"" style=""font-size: 0.9375rem;""><br></p>
    <p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/113552905_2649046425310394_3428163044255118269_o.jpg"" alt=""PIC"" width=""700"" height=""600"" class=""atto_image_button_text-bottom"" style=""font-size: 0.9375rem;""><br></p>",1,1597544907
85,25,Label (copy),"<p dir=""ltr"" style=""text-align: left;""><a href=""https://moodle4.tualearning.com/course/view.php?id=25""><img src=""@@PLUGINFILE@@/images.jfif"" alt=""BCK"" width=""100"" height=""59"" class=""img-responsive atto_image_button_text-bottom""></a><br></p>",1,1596912278
108,28,Life Services,"<p dir=""ltr"" style=""text-align: left;"">Life Services</p>",1,1597362585
109,30,"When: Oct 24, 2020 10:30 AM SingaporeTopic: TUA-CH...","<p dir=""ltr"" style=""text-align: left;""><p>When: Oct 24, 2020 10:30 AM Singapore<br>Topic: TUA-CHTM TrinityTalk: Rise of Online Food Entrepreneurs: RESPONDING TO THE NEW NORMAL</p><p><a href=""http://shorturl.at/mrIQ7?fbclid=IwAR0AJLFg2AAix7QOGvzFWE-AxVI7ZBxxl5yn1MYNKogo6AeM9qxf44CmGHc"" target=""_blank"" rel=""noreferrer noopener"">shorturl.at/mrIQ7</a></p><div><p>Register in advance for this webinar:</p></div><img src=""@@PLUGINFILE@@/online_poster.jpg"" alt="""" width=""704"" height=""960"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></p>",1,1603343764
110,34,under maintenance... will update soon!,under maintenance... will update soon!<br>,1,1659275591
111,34,Label,,1,1659262801
112,34,Respiratory Department Welcomes YOU! click for mor...,"<p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/WELCOMEtransparent-png.png"" alt="""" width=""65"" height=""45"" role=""presentation"" class=""img-responsive atto_image_button_middle"">Respiratory Department Welcomes YOU! <u><span class="""" style=""color: rgb(0, 61, 245);""><strong><a href=""https://moodle4.tualearning.com/mod/page/view.php?id=462&amp;forceview=1"">click for more....</a></strong></span></u></p>",1,1659263972
